year,sex,value,ageg,lid,aapc,projected2050,pct_decrease2050,pop,tercile,aapc2,projected20502,pct_decrease20502,tercile2
2019,1,14.376540000000006,hgap,53,-0.0010398203214796009,13.920509850328331,3.1720438274555223,1230.509,3,-0.0022846129422848804,13.393569586459146,6.837322565379846,3
2023,1,18.42127085578419,nnm,53,-0.014004458643754259,12.621297165522021,31.485198473377885,1230.509,3,-0.013917977406702597,12.650802244784996,31.32502994052278,3
2023,1,35.04440176940904,pnm,53,-0.04505930351308431,10.381389008140046,70.3764696100415,1230.509,3,-0.04443484254369965,10.557907769624194,69.87276929680563,3
2023,1,18.787365930693856,q5_19,53,-0.0463379703171519,5.376617292590815,71.38173966257416,1230.509,3,-0.04344400590359836,5.8135794155053455,69.05591003575753,3
2023,1,70.61512539993242,u20m,53,-0.03739781898238217,25.726028199938668,63.56867164897326,1230.509,3,-0.03597389596612803,26.73434775039211,62.140762904574984,3
2019,2,11.439825299999995,hgap,53,0.0013500889323307063,11.928774084277364,-4.274093104178515,1230.509,3,0.0018786635954350039,12.125846954657295,-5.996784362234094,3
2023,2,18.257509661008125,nnm,53,-0.016148702894669232,11.805452553010332,35.33919591332442,1230.509,3,-0.01651940687050235,11.687881060161255,35.98315828843503,3
2023,2,28.501532943056684,pnm,53,-0.042484503195804414,9.051009396499925,68.24378037987302,1230.509,3,-0.03982298196196439,9.725364410612475,65.87774969843616,3
2023,2,14.990203426620052,q5_19,53,-0.06150206144155916,2.848638679703846,80.99666429712923,1230.509,3,-0.053639319093240004,3.522374257927868,76.50215839184189,3
2023,2,60.53575186433691,u20m,53,-0.03972482643542765,20.710976318153154,65.78719900172828,1230.509,3,-0.03597460314808334,22.917936228564013,62.141485778645254,3
2019,3,12.92159153251427,hgap,53,-0.0023139721927998734,12.027149305233293,6.922074769430032,1230.509,3,-0.0035254874020081315,11.583823105486534,10.352969474863402,3
2023,3,18.43246522800177,nnm,53,-0.014903230940543332,12.326190271702245,33.12782571819611,1230.509,3,-0.015148095581101906,12.244966367139877,33.568482480911584,3
2023,3,31.70224760416973,pnm,53,-0.04402236541734461,9.657972252508001,69.53537057341731,1230.509,3,-0.04246262685729078,10.073383573062141,68.22501767433926,3
2023,3,16.89352448083681,q5_19,53,-0.05332011053067216,4.003974117852694,76.29876392937065,1230.509,3,-0.048139703362935916,4.605072396607293,72.74060601249276,3
2023,3,65.6068064785964,u20m,53,-0.03844776637748648,23.23337344740937,64.58694654648517,1230.509,3,-0.03599124500800688,24.826604310758682,62.15849293189095,3
2019,1,14.938910499999992,hgap,54,-0.0043537083247696005,13.052821195194104,12.625347108183615,128691.697,3,-0.008534414613625608,11.466186490313243,23.24616651051461,3
2023,1,24.90794419428909,nnm,54,-0.03290262560437109,10.2452676390139,58.867469916032086,128691.697,3,-0.029176018900583855,11.329775794872356,54.51340461301477,3
2023,1,25.81581611620132,pnm,54,-0.05493466636328477,5.857666640361436,77.30977547254328,128691.697,3,-0.050868681200394936,6.53735689608907,74.67693112368275,3
2023,1,33.64706398110373,q5_19,54,-0.030650248397085456,14.70766952153894,56.28840147895578,128691.697,3,-0.025759860435615158,16.783723354840053,50.11831236072832,3
2023,1,82.04273547422247,u20m,54,-0.03797525586859836,29.426874850843983,64.13226024126195,128691.697,3,-0.03366866471324368,33.055445841639425,59.709478663073924,3
2019,2,13.20988029999998,hgap,54,-0.004617502905268989,11.448085000095734,13.336951281112285,128691.697,3,-0.005387156429006268,11.178174903861803,15.380195353762442,3
2023,2,16.838646252242675,nnm,54,-0.03567353810894898,6.4268921650375885,61.83248897350275,128691.697,3,-0.03273421706555331,6.95772641168,58.68001318245327,3
2023,2,22.390824744065508,pnm,54,-0.05659955601163928,4.857205405077343,78.30716170307795,128691.697,3,-0.050774703209480784,5.6844494426519585,74.61259463361853,3
2023,2,16.042745370448586,q5_19,54,-0.07615116659137385,2.052739510427777,87.20456216796278,128691.697,3,-0.07169549527994637,2.3151590122878836,85.56881033247274,3
2023,2,54.27188539055627,u20m,54,-0.05572327503638976,12.054980601006633,77.78779838906371,128691.697,3,-0.05083274987006385,13.756646400621792,74.65235213108046,3
2019,3,14.145977786980495,hgap,54,-0.004213328251846615,12.413904220714436,12.244283091269976,128691.697,3,-0.006746703213510674,11.476282664315812,18.872467940122064,3
2023,3,21.100236649750926,nnm,54,-0.03387729003708673,8.453642596961714,59.93579248760936,128691.697,3,-0.030538556155544416,9.251107183245797,56.15638186050866,3
2023,3,24.016407802095795,pnm,54,-0.055890238212795394,5.3105787587811655,77.88770576123488,128691.697,3,-0.05094687474760127,6.068865209866757,74.73033744314935,3
2023,3,25.022023428306504,q5_19,54,-0.0472650228226529,6.983852914696632,72.08917602244728,128691.697,3,-0.04130912397176845,8.202262468162255,67.21982739859746,3
