year,sex,value,ageg,lid,decline
2013,2,1.788399543762642,q5_19,249,.57279569
2013,2,1.613324046134949,pnm,249,-.15575278
2013,3,2.566919803619385,nnm,249,0
2013,1,1.935566067695618,pnm,249,
2013,3,1.779813289642334,pnm,249,0
2019,2,2.885817527770996,hgap,249,-2.3386073
2019,1,5.008180618286133,hgap,249,-2.5126581
2019,3,3.982672214508057,hgap,249,-.39029503
2022,2,83.24514000000005,math,249,23.030581
2022,3,77.50344000000007,math,249,17.401541
2022,1,71.87440000000004,math,249,12.29349
2023,3,1.550041437149048,pnm,249,-.3438859
2023,2,1.506138324737549,pnm,249,-.38552463
2023,1,.6366928721061038,q5_19,249,-1.8949857
2023,2,.35059817915295,q5_19,249,-1.7561345
2023,1,2.327915191650391,nnm,249,-.36916685
2023,3,.4978416622197779,q5_19,249,-.60442775
2023,2,2.198011636734009,nnm,249,-.1361084
2023,1,1.59168016910553,pnm,249,-.32224202
2023,3,2.264768838882446,nnm,249,-.43592405
2009,2,3.041486501693726,hgap,7,-1.231535
2009,1,5.565957546234131,hgap,7,
2009,3,4.334422588348389,hgap,7,0
2013,1,2.691915035247803,nnm,7,
2013,2,1.915016189844243,q5_19,7,
2013,1,3.152937835929848,q5_19,7,.63527638
2013,2,2.503119468688965,nnm,7,0
2013,3,2.599319219589233,nnm,7,-.18879557
2013,3,1.870131850242615,pnm,7,
2013,1,2.019595861434937,pnm,7,-.1597352
2013,3,2.550292590120073,q5_19,7,0
2013,2,1.710396647453308,pnm,7,0
2019,1,5.186047554016113,hgap,7,-2.524471
2019,3,4.074252128601074,hgap,7,-2.679178
2019,2,2.886779546737671,hgap,7,-.37990999
2023,3,1.01689339926736,q5_19,7,-.60193151
2023,1,1.313084679895549,q5_19,7,1.2379216
2023,1,1.817742943763733,pnm,7,-.13090515
2023,2,1.654597759246826,pnm,7,-.052388906
2023,2,.7031296919024488,q5_19,7,-.89812279
2023,3,1.739226698875427,pnm,7,.14946401
2023,3,2.337389230728149,nnm,7,-.092595816
2023,2,2.309231519699097,nnm,7,-.32617021
2023,1,2.365744829177856,nnm,7,-.3545258
2009,2,.7119438052177429,hgap,145,
2009,3,3.146241903305054,hgap,145,4.780674
2009,1,5.492617607116699,hgap,145,0
2012,2,70.12545000000006,math,145,0
2012,3,59.04696000000001,math,145,
2012,1,47.90590000000009,math,145,11.07849
2013,2,1.951954364776611,nnm,145,0
2013,3,2.27348256111145,nnm,145,-.62172771
2013,2,1.698572386370167,q5_19,145,
2013,1,2.573682069778442,nnm,145,
2013,1,2.855935382901853,q5_19,145,.59451598
2013,3,2.293088337177562,q5_19,145,0
2013,2,1.26278281211853,pnm,145,-.25385189
2013,3,1.533009886741638,pnm,145,0
2013,1,1.786861777305603,pnm,145,
2019,1,5.257974147796631,hgap,145,-.087122977
2019,2,.6248208284378052,hgap,145,2.434298
2019,3,3.02382230758667,hgap,145,4.5460305
2022,1,67.98680000000002,math,145,-11.14106
2022,3,77.32020000000006,math,145,27.99542
2022,2,87.04238000000004,math,145,8.9398403
2023,3,2.048903454585416,q5_19,145,1.1573629
2023,2,1.387933850288391,pnm,145,-.053611398
2023,2,1.712143898010254,nnm,145,-.42681122
2023,1,2.146870851516724,nnm,145,-.30019951
2023,2,1.231758384810155,q5_19,145,.35033107
2023,3,1.563677787780762,pnm,145,-.39892793
2023,1,1.733250379562378,pnm,145,-.52407897
2023,3,1.936844229698181,nnm,145,-.86153817
2023,1,2.824369891798795,q5_19,145,-.46681401
2009,2,7.081127166748047,hgap,94,2.0873251
2009,3,9.101689338684082,hgap,94,
2009,1,11.18901443481445,hgap,94,0
2013,3,14.76699733734131,nnm,94,3.9391403
2013,3,16.41330528259277,pnm,94,
2013,2,12.67967987060547,nnm,94,
2013,1,17.20746994018555,pnm,94,-.94711113
2013,1,7.268515208916693,q5_19,94,
2013,1,16.61882019042969,nnm,94,0
2013,3,6.125477250269684,q5_19,94,-2.3459184
2013,2,15.46619415283203,pnm,94,0
2013,2,4.92259667588224,q5_19,94,0
2019,2,6.176647663116455,hgap,94,.67830276
2019,3,8.017006874084473,hgap,94,-2.0205622
2019,1,9.77999210357666,hgap,94,-1.0846825
2023,1,6.594934616299453,q5_19,94,-1.6857247
2023,1,9.254803657531738,pnm,94,-7.5662193
2023,1,9.883004188537598,nnm,94,-5.2378221
2023,2,7.441857814788818,nnm,94,-3.9598236
2023,3,8.847085952758789,pnm,94,-8.0441513
2023,2,4.454367281625071,q5_19,94,-.67358059
2023,3,5.58279052509425,q5_19,94,-1.1430379
2023,3,8.719856262207031,nnm,94,2.0873175
2023,2,8.36915397644043,pnm,94,.79416466
2009,3,8.029451370239258,hgap,197,
2009,1,11.12614154815674,hgap,197,-3.0895929
2009,2,4.939858436584473,hgap,197,0
2013,1,6.98259973526001,pnm,197,0
2013,1,8.63640308380127,nnm,197,.70356512
2013,3,7.45456859649718,q5_19,197,
2013,1,9.967274005887816,q5_19,197,-2.53827
2013,2,6.209418296813965,pnm,197,
2013,3,6.601701736450195,pnm,197,.77318144
2013,2,7.246142864227295,nnm,197,
2013,3,7.949707984924316,nnm,197,0
2013,2,4.916298697877686,q5_19,197,0
2019,3,6.729919910430908,hgap,197,3.0966902
2019,2,4.091022968292236,hgap,197,-1.2995315
2019,1,9.38526439666748,hgap,197,-3.9384284
2023,1,9.370543989440151,q5_19,197,-3.7970691
2023,3,6.530962692499975,q5_19,197,1.9159755
2023,2,6.658779144287109,nnm,197,1.3902602
2023,3,7.293540954589844,nnm,197,-.58736372
2023,1,7.911269664764404,nnm,197,.04739809
2023,2,5.108723163604736,pnm,197,-.77022314
2023,3,5.439195156097412,pnm,197,-.44848108
2023,1,5.760937213897705,pnm,197,.39228344
2023,2,3.657499524099661,q5_19,197,2.5127053
2009,2,10.50500679016113,hgap,95,0
2009,3,11.90076065063477,hgap,95,-2.5605412
