loc,heading2,heading1,has_wimort,has_imr,has_nmr,has_pnm,has_cms,has_ncdcm5,lid
Auvergne-Rhône-Alpes,France,Subnational regions,0,1,0,0,0,0,286
Bourgogne-Franche-Comté,France,Subnational regions,0,1,0,0,0,0,287
Bretagne,France,Subnational regions,0,1,0,0,0,0,288
Centre-Val de Loire,France,Subnational regions,0,1,0,0,0,0,289
Corse,France,Subnational regions,0,1,0,0,0,0,290
Grand Est,France,Subnational regions,0,1,0,0,0,0,291
Hauts-de-France,France,Subnational regions,0,1,0,0,0,0,292
Normandie,France,Subnational regions,0,1,0,0,0,0,293
Nouvelle-Aquitaine,France,Subnational regions,0,1,0,0,0,0,294
Occitanie,France,Subnational regions,0,1,0,0,0,0,295
Pays de la Loire,France,Subnational regions,0,1,0,0,0,0,296
Provence-Alpes-Côte d’Azur,France,Subnational regions,0,1,0,0,0,0,297
Île de France,France,Subnational regions,0,1,0,0,0,0,298
Total Japan,Japan,Subnational regions,0,1,0,0,0,0,299
Aichi,Japan,Subnational regions,0,1,0,0,0,0,300
Akita,Japan,Subnational regions,0,1,0,0,0,0,301
Aomori,Japan,Subnational regions,0,1,0,0,0,0,302
Chiba,Japan,Subnational regions,0,1,0,0,0,0,303
Ehime,Japan,Subnational regions,0,1,0,0,0,0,304
Fukui,Japan,Subnational regions,0,1,0,0,0,0,305
Fukuoka,Japan,Subnational regions,0,1,0,0,0,0,306
Fukushima,Japan,Subnational regions,0,1,0,0,0,0,307
Gifu,Japan,Subnational regions,0,1,0,0,0,0,308
Gumma,Japan,Subnational regions,0,1,0,0,0,0,309
Hiroshima,Japan,Subnational regions,0,1,0,0,0,0,310
Hokkaido,Japan,Subnational regions,0,1,0,0,0,0,311
Hyogo,Japan,Subnational regions,0,1,0,0,0,0,312
Ibaraki,Japan,Subnational regions,0,1,0,0,0,0,313
Ishikawa,Japan,Subnational regions,0,1,0,0,0,0,314
Iwate,Japan,Subnational regions,0,1,0,0,0,0,315
Kagawa,Japan,Subnational regions,0,1,0,0,0,0,316
Kagoshima,Japan,Subnational regions,0,1,0,0,0,0,317
Kanagawa,Japan,Subnational regions,0,1,0,0,0,0,318
Kochi,Japan,Subnational regions,0,1,0,0,0,0,319
Kumamoto,Japan,Subnational regions,0,1,0,0,0,0,320
Kyoto,Japan,Subnational regions,0,1,0,0,0,0,321
Mie,Japan,Subnational regions,0,1,0,0,0,0,322
Miyagi,Japan,Subnational regions,0,1,0,0,0,0,323
Miyazaki,Japan,Subnational regions,0,1,0,0,0,0,324
Nagano,Japan,Subnational regions,0,1,0,0,0,0,325
Nagasaki,Japan,Subnational regions,0,1,0,0,0,0,326
Nara,Japan,Subnational regions,0,1,0,0,0,0,327
Niigata,Japan,Subnational regions,0,1,0,0,0,0,328
Oita,Japan,Subnational regions,0,1,0,0,0,0,329
Okayama,Japan,Subnational regions,0,1,0,0,0,0,330
Okinawa,Japan,Subnational regions,0,1,0,0,0,0,331
