surveyyear,wi,NMR,CH,PNM,lid
2012,Poorest,48.831131,72.812958,46.731361,57
2012,Middle,40.497879,60.488579,40.022171,57
2005,Poorer,60.905174,90.944717,61.544205,57
2018,Richer,33.921223,35.904751,20.101566,57
2018,Poorest,36.317799,55.48151,41.070522,57
2005,Middle,61.641575,88.610794,53.135555,57
1999,Poorer,57.734833,102.03836,70.133171,57
1999,Richest,38.208908,62.683075,31.986145,57
2018,Richest,22.2707,10.076134,12.060499,57
1999,Richer,48.281887,70.399887,43.113613,57
2022,Poorer,21.760761,10.843917,13.165924,59
1993,Richest,24.149925,18.615677,19.090355,59
2022,Middle,23.073685,6.2490845,11.535645,59
1998,Richest,16.041828,20.488722,24.200302,59
2022,Richer,24.638494,8.7611017,12.536272,59
2008,Middle,40.523464,24.516773,26.884212,59
2014,Middle,21.345245,15.469946,17.273289,59
1998,Poorest,31.740168,40.365707,63.995911,59
2008,Richer,21.25659,11.972022,17.870897,59
1993,Poorest,36.377846,39.303524,53.584557,59
2014,Poorest,20.09116,17.061148,19.548874,59
2008,Richest,28.905741,11.82507,27.723528,59
2022,Richest,20.91453,4.4467297,11.917559,59
2022,Poorest,24.252253,10.872733,11.427027,59
1998,Middle,24.536837,33.817108,33.945328,59
2014,Poorer,22.638346,21.719357,18.865347,59
2014,Richer,26.007177,12.173142,19.705359,59
2008,Poorest,39.302402,31.942131,26.271191,59
1993,Richer,21.414261,22.406607,17.653091,59
1998,Richer,29.819298,23.875734,31.171974,59
1998,Poorer,29.65276,47.493294,53.219265,59
1993,Poorer,32.5368,40.863514,46.763592,59
2014,Richest,25.615553,8.2494946,12.73842,59
2008,Poorer,33.109436,37.742188,31.010712,59
1993,Middle,18.125595,28.555481,34.514038,59
2009,Richer,51.960651,24.499399,38.744991,60
2023,Poorer,19.602612,6.0824943,20.113075,60
2023,Poorest,32.342937,17.719547,14.345806,60
2023,Richest,29.383358,12.025862,12.893421,60
2004,Middle,64.110924,12.433265,28.974976,60
2014,Middle,29.56085,31.435036,44.011093,60
2014,Richer,41.58733,26.724716,51.392757,60
2009,Middle,35.452007,20.382048,40.372517,60
2004,Richest,24.763487,12.180311,44.794037,60
2023,Middle,36.429539,12.149849,15.114166,60
2009,Poorer,46.001385,31.719482,47.065289,60
2009,Richest,27.822489,14.884752,37.406776,60
2004,Poorer,40.47868,16.267006,49.51997,60
2023,Richer,18.317247,19.331497,25.032881,60
2004,Poorest,51.274765,26.599602,35.242653,60
2014,Poorest,32.556438,14.270214,30.061218,60
2009,Poorest,43.935291,19.106855,43.571232,60
2014,Poorer,40.077309,24.037615,22.782215,60
2004,Richer,46.455143,25.80307,29.733425,60
2014,Richest,21.99839,19.446232,28.913456,60
2013,Poorer,25.61381,46.77404,39.478287,61
2013,Poorest,38.002728,50.460125,41.361027,61
2007,Poorer,39.796761,49.647232,65.207817,61
2007,Richest,31.552637,46.699787,38.793076,61
2007,Middle,40.637806,49.956093,40.801647,61
2019,Richest,31.242275,8.361062,21.179558,61
2013,Middle,32.128242,37.992695,34.518845,61
2007,Poorest,28.808731,38.750702,70.797821,61
2009,Richest,61.543053,42.028332,33.842697,61
2019,Poorest,34.030071,35.124741,33.126301,61
2019,Poorer,38.865986,35.821747,27.950344,61
2009,Poorer,46.144344,49.347679,57.322048,61
2009,Middle,32.962036,59.815853,62.061104,61
2019,Richer,43.011421,40.239017,26.451538,61
2019,Middle,37.337673,33.539288,35.254108,61
2009,Richer,38.178722,77.858719,42.984753,61
2009,Poorest,51.99749,54.305004,69.206657,61
2013,Richer,40.683285,41.310062,29.843349,61
2013,Richest,32.429604,37.214603,29.726925,61
2007,Richer,31.677917,60.122452,63.725502,61
2004,Poorest,43.077507,55.018005,43.639854,63
2004,Richer,32.477486,35.024811,22.161118,63
2021,Richest,24.023594,9.7779312,10.935253,63
1997,Poorest,39.734287,75.889267,79.313568,63
2021,Poorer,25.014601,30.89369,24.706251,63
1997,Richer,34.504242,53.391312,41.651642,63
1997,Poorer,47.113449,67.702232,71.20295,63
2008,Richest,20.96843,11.236482,15.691288,63
2004,Middle,32.156479,34.969837,33.340233,63
2021,Richer,24.141582,18.567646,17.941513,63
2021,Poorest,23.002159,33.975365,23.583157,63
2008,Poorest,25.973442,44.95615,34.93005,63
1997,Richest,35.592655,43.891796,21.882671,63
2004,Richest,19.020485,16.548845,13.861343,63
