year,sex,value,ageg,lid,aapc,projected2050,pct_decrease2050,pop,tercile
2023,1,15.44452158535181,q5_19,23,-.020092297,8.9778671,41.870216,,3
2023,1,37.50772401690483,u20m,22,-.021927355,20.749212,44.680161,,3
2019,2,159.4371948242188,hgap,15,.00095465413,164.22614,-3.0036533,,3
2023,2,12.34066733459038,q5_19,34,-.023480725,6.5464344,46.952347,,3
2023,3,6.774900884662705,q5_19,6,-.02638858,3.3225517,50.957928,,3
2023,1,35.71338579058647,u20m,2,-.031899251,15.093223,57.737911,,3
2019,3,161.1243133544922,hgap,24,.00084569369,165.40428,-2.6563144,,3
2023,3,17.88404583930969,nnm,14,-.023310479,9.5307751,46.707947,,3
2023,3,3.386806897474837,q5_19,5,-.0011998239,3.2788486,3.1876116,,3
2023,3,25.50850063562393,pnm,23,-.02538049,12.855073,49.604748,,3
2023,1,2.303915563970804,nnm,3,-.041004032,.76147437,66.948685,,3
2023,3,9.407536126673222,nnm,6,-.019748854,5.5195265,41.328671,,3
2023,3,6.65233051404357,pnm,21,-.024201054,3.4609349,47.974098,,3
2019,3,167.8556976318359,hgap,6,-7.5447647e-06,167.81644,.023389652,,3
2023,1,13.38078703916379,q5_19,8,-.0063554975,11.270869,15.768264,,3
2023,3,33.9893102645874,nnm,26,-.016685203,21.661697,36.269089,,3
2023,2,2.380775520578027,pnm,13,-.058717135,.48775774,79.51265,,3
2023,1,7.371227722615004,nnm,9,-.036269087,2.7685366,62.441311,,3
2023,3,14.92828162654891,q5_19,14,-.021011647,8.4650259,43.295376,,3
2023,3,5.648284219205379,u20m,19,-.011530612,4.1372252,26.752533,,3
2023,3,7.636282593011856,pnm,4,-.026276086,3.7563832,50.808746,,3
2023,3,49.39964413642883,u20m,34,-.022715786,26.752207,45.845345,,3
2023,3,16.26387424767017,nnm,34,-.020681124,9.3050385,42.787075,,3
2023,1,12.27486133575439,pnm,2,-.033514746,4.9662013,59.541691,,3
2019,3,167.4362945556641,hgap,33,.0011558735,173.54466,-3.6481743,,3
2023,1,12.84223701804876,nnm,32,.003551967,14.134839,-10.065241,,3
2023,2,10.60642581433058,nnm,17,-.020534804,6.092267,42.560604,,3
2023,3,10.42590857882131,q5_19,22,-.018293783,6.3621211,38.977779,,3
2023,3,38.56741636991501,u20m,17,-.021858234,21.375288,44.57682,,3
2019,1,163.9033203125,hgap,14,-.000038050519,163.7101,.11788782,,3
2023,3,20.39339579641819,pnm,34,-.026501024,9.9710255,51.106594,,3
2023,1,52.70779505372047,u20m,34,-.020837884,30.028305,43.028721,,3
2023,2,19.07875575125217,u20m,4,-.021622326,10.641619,44.222679,,3
2023,3,7.479822013415238,q5_19,21,-.022520449,4.0720921,45.558971,,3
2023,2,7.263986393809319,pnm,32,.0089262547,9.2436571,-27.253227,,3
2023,3,20.81937715411186,u20m,9,-.02641798,10.202152,50.996841,,3
2023,1,16.78931571249276,q5_19,31,-.020207807,9.7292023,42.051228,,3
2023,1,115.2267977595329,u20m,16,-.029456554,52.017246,54.85664,,3
2023,1,24.08695407211781,u20m,9,-.026039276,11.924677,50.493214,,3
2023,2,10.64662920746862,q5_19,15,-.019947743,6.2130647,41.642895,,3
2023,1,56.77039921283722,u20m,23,-.016415285,36.444931,35.802933,,3
2023,2,14.41016048192978,nnm,34,-.021044981,8.1638765,43.346386,,3
2023,3,1.903817966888766,q5_19,19,-.012538372,1.3570664,28.718689,,3
2023,3,7.589645537452783,q5_19,2,-.040562131,2.5385861,66.551979,,3
2023,3,3.389132209122181,nnm,18,-.015035274,2.2583208,33.36581,,3
2019,1,178.3515319824219,hgap,3,.00037926305,180.46082,-1.1826551,,3
2023,2,22.24279940128326,pnm,31,-.040699631,7.4122076,66.675926,,3
2023,3,10.17042574463556,q5_19,8,-.013258451,7.1100259,30.091167,,3
2019,1,169.1719207763672,hgap,15,.00031243367,170.81839,-.973252,,3
2019,1,169.5970458984375,hgap,2,.00072445389,173.44896,-2.271215,,3
2023,3,92.94754266738892,u20m,1,-.025574734,46.596127,49.868362,,3
2023,3,25.6433691829443,u20m,6,-.023941768,13.43492,47.608601,,3
2023,2,86.88679337501526,u20m,1,-.027054466,41.85183,51.831772,,3
2023,3,1.830007997341454,nnm,25,-.022043543,1.0091866,44.853432,,3
2023,1,10.05067583173513,nnm,10,-.041223731,3.3022339,67.144157,,3
2023,2,20.32490074634552,nnm,16,-.028862679,9.3236523,54.126949,,3
2023,3,58.13087895512581,pnm,26,-.029271614,26.373598,54.630657,,3
2023,1,3.318113102328213,q5_19,29,-.011561435,2.428412,26.813467,,3
2023,2,6.219949573278427,u20m,29,-.014711737,4.1809769,32.781178,,3
2023,3,7.068037458095811,q5_19,9,-.012520991,5.0405545,28.685232,,3
2023,3,11.15904655307531,u20m,12,-.053225197,2.6516187,76.237946,,3
2019,1,176.0635223388672,hgap,25,.00021429542,177.23703,-.66652519,,3
2019,1,166.7867889404297,hgap,24,.00068938173,170.38953,-2.1600857,,3
2023,3,9.680707007646561,pnm,6,-.026785905,4.69696,51.481232,,3
2023,1,50.61274766921997,u20m,8,-.01256224,36.054188,28.76461,,3
2023,1,60.13914942741394,pnm,26,-.028785247,27.645401,54.030941,,3
2023,3,6.58723060041666,nnm,9,-.035027958,2.5583899,61.161373,,3
2023,2,9.703105315566063,u20m,12,-.055258431,2.1824942,77.507263,,3
2023,3,11.95413333217532,q5_19,15,-.014849157,8.0056686,33.030121,,3
2019,2,165.1569366455078,hgap,13,.00023484358,166.36369,-.73067266,,3
2023,1,22.32814207673073,nnm,31,-.029477993,10.073841,54.882763,,3
2019,3,164.940673828125,hgap,34,.00062339869,168.15921,-1.9513297,,3
2023,2,10.78544743359089,nnm,15,-.0052323253,9.3644915,13.174752,,3
2023,3,2.15347926132381,nnm,28,-.010644894,1.6155455,24.979752,,3
2023,1,4.408502283927307,q5_19,5,.00039183564,4.45539,-1.0635742,,3
2023,3,7.533593269494432,q5_19,4,-.019099379,4.4982519,40.290752,,3
