year,age,sex,value,loc,heading1,heading2,lid
2010,13,2,149.7580167672032,Low-income countries,Aggregates,incomegr,
1985,5,1,103.5155833625963,Low-income countries,Aggregates,incomegr,
2019,17,1,165.9729077454315,Low-income countries,Aggregates,incomegr,
2010,5,1,104.3909935755362,Low-income countries,Aggregates,incomegr,
2010,19,2,157.3223794553573,Low-income countries,Aggregates,incomegr,
1990,18,1,167.0812450401108,Low-income countries,Aggregates,incomegr,
2019,7,1,116.4207217897077,Low-income countries,Aggregates,incomegr,
1990,7,1,114.875374714972,Low-income countries,Aggregates,incomegr,
2000,17,3,160.5392694072574,Low-income countries,Aggregates,incomegr,
1990,5,1,103.1891608881068,Low-income countries,Aggregates,incomegr,
2010,18,3,161.6464619414965,Low-income countries,Aggregates,incomegr,
2010,14,1,154.914143976236,Low-income countries,Aggregates,incomegr,
2019,16,1,163.8760911270266,Low-income countries,Aggregates,incomegr,
2010,17,1,165.0070058672654,Low-income countries,Aggregates,incomegr,
1985,8,3,121.2968540478609,Low-income countries,Aggregates,incomegr,
1985,6,1,109.5235548674598,Low-income countries,Aggregates,incomegr,
1985,6,3,110.4373856328158,Low-income countries,Aggregates,incomegr,
2019,10,1,131.6976194173377,Low-income countries,Aggregates,incomegr,
2000,16,1,162.8450257838275,Low-income countries,Aggregates,incomegr,
2019,15,3,157.7259190844491,Low-income countries,Aggregates,incomegr,
2000,17,2,155.9054762126504,Low-income countries,Aggregates,incomegr,
1985,12,1,141.9453815487589,Low-income countries,Aggregates,incomegr,
2010,6,1,110.2937348525341,Low-income countries,Aggregates,incomegr,
2019,14,1,156.0383404269106,Low-income countries,Aggregates,incomegr,
1990,12,3,143.6616639783606,Low-income countries,Aggregates,incomegr,
2010,18,1,166.6529972575372,Low-income countries,Aggregates,incomegr,
2010,7,3,116.450496613398,Low-income countries,Aggregates,incomegr,
2000,12,1,141.2872546822641,Low-income countries,Aggregates,incomegr,
2000,17,1,165.0956433482419,Low-income countries,Aggregates,incomegr,
1990,17,1,165.4529378043403,Low-income countries,Aggregates,incomegr,
2019,5,1,104.9767439757225,Low-income countries,Aggregates,incomegr,
2000,8,1,119.9827094506747,Low-income countries,Aggregates,incomegr,
2010,12,2,145.6613310174585,Low-income countries,Aggregates,incomegr,
1985,13,1,148.8510013160632,Low-income countries,Aggregates,incomegr,
1985,18,3,161.7742449751031,Low-income countries,Aggregates,incomegr,
2010,6,2,111.7474678469067,Low-income countries,Aggregates,incomegr,
1985,9,3,126.6294400833146,Low-income countries,Aggregates,incomegr,
2000,12,3,143.3297343855895,Low-income countries,Aggregates,incomegr,
1990,11,1,135.7502921625092,Low-income countries,Aggregates,incomegr,
2000,18,3,161.7182620657084,Low-income countries,Aggregates,incomegr,
2019,19,3,163.3415433845992,Low-income countries,Aggregates,incomegr,
2010,9,2,127.846581821865,Low-income countries,Aggregates,incomegr,
2019,6,2,112.0797773911475,Low-income countries,Aggregates,incomegr,
2000,16,3,159.040111807785,Low-income countries,Aggregates,incomegr,
2019,17,3,161.2176611948878,Low-income countries,Aggregates,incomegr,
1990,13,3,149.2196335390124,Low-income countries,Aggregates,incomegr,
1985,13,2,149.7945319712622,Low-income countries,Aggregates,incomegr,
2010,10,1,130.8093090147591,Low-income countries,Aggregates,incomegr,
2019,6,1,110.9094368683346,Low-income countries,Aggregates,incomegr,
1985,17,3,160.6704995021097,Low-income countries,Aggregates,incomegr,
1990,10,1,130.4840235590812,Low-income countries,Aggregates,incomegr,
2000,8,2,121.9973372006165,Low-income countries,Aggregates,incomegr,
2000,18,2,156.5405992399735,Low-income countries,Aggregates,incomegr,
2019,11,2,140.451254696617,Low-income countries,Aggregates,incomegr,
2019,19,2,157.6543084692749,Low-income countries,Aggregates,incomegr,
1985,8,2,122.1768309558177,Low-income countries,Aggregates,incomegr,
1985,6,2,111.3662351597111,Low-income countries,Aggregates,incomegr,
1985,10,2,133.6055674184958,Low-income countries,Aggregates,incomegr,
2000,19,1,168.4597489437149,Low-income countries,Aggregates,incomegr,
2000,6,3,110.2138299309487,Low-income countries,Aggregates,incomegr,
2000,6,1,109.1740392754395,Low-income countries,Aggregates,incomegr,
1985,7,1,115.1165633566845,Low-income countries,Aggregates,incomegr,
2010,7,1,115.7712247380636,Low-income countries,Aggregates,incomegr,
2019,15,2,154.6483599263706,Low-income countries,Aggregates,incomegr,
2019,13,1,149.574407671275,Low-income countries,Aggregates,incomegr,
2019,10,2,134.1486637242851,Low-income countries,Aggregates,incomegr,
1985,17,2,155.9245351805449,Low-income countries,Aggregates,incomegr,
2000,9,1,125.0727376653679,Low-income countries,Aggregates,incomegr,
2010,17,3,160.5287416028256,Low-income countries,Aggregates,incomegr,
2019,13,3,149.9049656418084,Low-income countries,Aggregates,incomegr,
2000,9,2,127.4593575704071,Low-income countries,Aggregates,incomegr,
2000,15,3,156.843805446814,Low-income countries,Aggregates,incomegr,
2010,8,2,122.4182575718574,Low-income countries,Aggregates,incomegr,
1990,6,1,109.2395680920436,Low-income countries,Aggregates,incomegr,
2000,10,2,133.3560416022832,Low-income countries,Aggregates,incomegr,
2019,12,2,146.1410462328273,Low-income countries,Aggregates,incomegr,
2019,15,1,160.7466594720063,Low-income countries,Aggregates,incomegr,
1990,19,1,168.6158108605675,Low-income countries,Aggregates,incomegr,
1985,16,1,163.2212142315758,Low-income countries,Aggregates,incomegr,
2010,11,1,135.8742184053079,Low-income countries,Aggregates,incomegr,
2000,19,3,162.9363023339212,Low-income countries,Aggregates,incomegr,
2010,17,2,155.9800506630937,Low-income countries,Aggregates,incomegr,
