year,sex,value,note_,lid
2011,1,2.088334829063787,,353
2011,2,.5898684137433108,,353
2011,3,1.359292974651649,,353
2012,1,2.188143659279773,,353
2012,2,.7497913270994028,,353
2012,3,1.479139545701558,,353
2013,1,1.838787556048715,,353
2013,2,1.269366355587276,,353
2013,3,1.559079358691373,,353
2014,1,1.90860887763622,,353
2014,2,1.039586879350574,,353
2014,3,1.47915633170137,,353
2015,1,1.95855530525979,,353
2015,2,.9696258717670769,,353
2015,3,1.489141240357372,,353
2016,1,1.569053371938134,,353
2016,2,.9996403562424483,,353
2016,3,1.289370643052123,,353
2017,1,2.487580647968723,,353
2017,2,.8597409319046623,,353
2017,3,1.688891052936681,,353
2018,1,2.098321743633114,,353
2018,2,.9996283628174174,,353
2018,3,1.559070164330323,,353
2019,1,2.128290737130389,,353
2019,2,.8896944503039572,,353
2019,3,1.529094258104768,,353
2020,1,2.667268835264247,,353
2020,2,1.199440125836726,,353
2020,3,1.958508052670282,,353
2021,1,2.657326357384138,,353
2021,2,1.13950989835887,,353
2021,3,1.91859868227473,,353
2022,1,2.916747019007015,,353
2022,2,1.209431730301302,,353
2022,3,2.088290282871608,,353
1941,1,9.851024788676499,,354
1941,2,7.298805641121731,,354
1941,3,8.590451070663697,,354
1942,1,11.29869698129415,,354
1942,2,5.209112272180239,,354
1942,3,8.252649337753382,,354
1943,1,13.15061574765175,,354
1943,2,9.067087292347731,,354
1943,3,11.10062143784185,,354
1944,1,8.600266046203009,,354
1944,2,8.243082485013154,,354
1944,3,8.411678613831075,,354
1945,1,7.904936019928477,,354
1945,2,6.513203349186703,,354
1945,3,7.199199895875696,,354
1946,1,5.627782627617317,,354
1946,2,7.865236187607483,,354
1946,3,6.791713964256485,,354
1947,1,11.03113400159228,,354
1947,2,4.402277728486226,,354
1947,3,7.586927066045468,,354
1948,1,4.372532826526498,,354
1948,2,4.940217471886221,,354
1948,3,4.671288284292863,,354
1949,1,5.876331353749764,,354
1949,2,6.473178834896509,,354
1949,3,6.144886614297351,,354
1950,1,9.543512978371083,,354
1950,2,3.275709601905485,,354
1950,3,6.373731789918069,,354
1951,1,7.795813829249987,,354
1951,2,3.235813201290849,,354
1951,3,5.507888536581351,,354
1952,1,5.288877387100599,,354
1952,2,2.268030911495522,,354
1952,3,3.794321378278287,,354
1953,1,9.414489918937342,,354
1953,2,2.647383904052059,,354
1953,3,6.075341182015248,,354
1954,1,5.806467858109787,,354
1954,2,2.966484576263584,,354
1954,3,4.40223144818741,,354
1955,1,6.53319768582894,,354
1955,2,3.275708703608493,,354
1955,3,4.910423241345829,,354
1956,1,5.577802549398103,,354
1956,2,2.72703240743466,,354
1956,3,4.143188239276396,,354
1957,1,7.288697146232259,,354
1957,2,1.499111959864408,,354
1957,3,4.342464112560784,,354
1958,1,4.8407160782028,,354
1958,2,2.786889834021977,,354
1958,3,3.794264804575675,,354
1959,1,7.867901771784647,,354
1959,2,3.106449873441219,,354
1959,3,5.369119880893169,,354
1960,1,7.350136929323625,,354
1960,2,2.238055917918702,,354
1960,3,4.661697221754357,,354
1961,1,4.013865537182748,,354
1961,2,.6199039000001072,,354
1961,3,2.278013136139068,,354
1962,1,6.851504460449132,,354
1962,2,2.318064785462037,,354
1962,3,4.611595731676577,,354
1963,1,5.786841341730575,,354
1963,2,2.37846576049594,,354
1963,3,4.093645849428174,,354
1964,1,5.538923517458771,,354
1964,2,2.288145423443577,,354
1964,3,3.904149493408005,,354
1965,1,6.921426036602951,,354
1965,2,2.068362316535066,,354
1965,3,4.462188964004299,,354
1966,1,7.398649023692805,,354
1966,2,3.495703589596943,,354
1966,3,5.398848634268982,,354
1967,1,10.18038500903218,,354
1967,2,1.059640937926098,,354
1967,3,5.478491683079789,,354
1968,1,5.349270217281044,,354
1968,2,1.858677348973381,,354
1968,3,3.575052793869826,,354
1969,1,8.472247259212251,,354
1969,2,2.367927023424365,,354
1969,3,5.388700741919883,,354
1970,1,6.73271651009566,,354
1970,2,2.497757585464444,,354
1970,3,4.592027738939741,,354
1971,1,5.219504922403306,,354
1971,2,1.309509752725035,,354
1971,3,3.255932232872794,,354
1972,1,6.005963924052948,,354
1972,2,2.837107140969408,,354
1972,3,4.412449547926078,,354
1973,1,7.597829792104105,,354
1973,2,2.886827359735888,,354
1973,3,5.229414383614572,,354
1974,1,7.040210914146305,,354
1974,2,2.99670496961435,,354
1974,3,5.010047579211752,,354
1975,1,8.550980817463639,,354
1975,2,2.088361903206715,,354
1975,3,5.31881577172344,,354
1976,1,7.081861146586932,,354
1976,2,1.619053531622949,,354
1976,3,4.353083174053141,,354
1977,1,5.677187508288717,,354
1977,2,2.557414587956108,,354
1977,3,4.103293636689931,,354
1978,1,8.602569950916683,,354
1978,2,3.824464558548568,,354
1978,3,6.175502669466648,,354
1979,1,4.811446159500909,,354
1979,2,1.968563559348713,,354
1979,3,3.365722349846112,,354
1980,1,8.104607880622506,,354
1980,2,2.148261163405607,,354
1980,3,5.079998348546777,,354
1981,1,6.135964064492239,,354
1981,2,2.547861994945944,,354
1981,3,4.333065629314459,,354
1982,1,6.533836331052645,,354
1982,2,1.898667309479407,,354
1982,3,4.18335684395188,,354
1983,1,4.163532006588588,,354
1983,2,2.028419285446947,,354
1983,3,3.076384606515381,,354
1984,1,4.880702546470217,,354
1984,2,1.349366721383971,,354
1984,3,3.096233937511905,,354
1985,1,5.039872806260504,,354
1985,2,1.38933123082019,,354
1985,3,3.205945421539957,,354
1986,1,5.68750274241947,,354
1986,2,1.988627388674336,,354
1986,3,3.834431526253401,,354
1987,1,3.674765122248735,,354
1987,2,1.449492599999935,,354
1987,3,2.567445720277339,,354
1988,1,5.48853409028438,,354
1988,2,2.757625529355989,,354
1988,3,4.133476347604859,,354
1989,1,2.856902786711357,,354
1989,2,2.198178903778158,,354
1989,3,2.507565539147993,,354
1990,1,4.771618081933715,,354
1990,2,3.226226841156254,,354
1990,3,3.953867448033499,,354
1991,1,3.685152358956723,,354
1991,2,1.139541378725073,,354
1991,3,2.407936043225312,,354
1992,1,3.90405550569084,,354
1992,2,1.379317442543382,,354
1992,3,2.637278975112789,,354
1993,1,3.635224275488014,,354
1993,2,2.707094243183161,,354
1993,3,3.136193125886977,,354
1994,1,5.239710243960527,,354
1994,2,1.079579970573619,,354
1994,3,3.156180211786652,,354
1995,1,5.269489178952536,,354
1995,2,2.69718301004962,,354
1995,3,3.973902162662135,,354
1996,1,3.624892480935227,,354
1996,2,1.609073126171423,,354
1996,3,2.617377345740302,,354
1997,1,5.429176712234307,,354
1997,2,1.988506822396485,,354
1997,3,3.674808557530662,,354
1998,1,5.587780767929318,,354
1998,2,1.529168988385399,,354
1998,3,3.545116140033389,,354
1999,1,2.907123236965514,,354
1999,2,1.838753967960072,,354
1999,3,2.34795093131579,,354
2000,1,5.648391158500243,,354
2000,2,1.648954016769566,,354
2000,3,3.614984843702373,,354
2001,1,5.577920791286495,,354
2001,2,1.449330622367406,,354
2001,3,3.535053513153752,,354
2002,1,5.31922475680946,,354
2002,2,.719842010944105,,354
2002,3,3.046443672021892,,354
2003,1,4.652125061544776,,354
2003,2,2.447722594314583,,354
2003,3,3.545200832053785,,354
2004,1,4.432833982786377,,354
2004,2,2.417872827730871,,354
2004,3,3.41556038933255,,354
2005,1,3.235962676391591,,354
2005,2,2.108379638235847,,354
2005,3,2.667297959704773,,354
2006,1,4.382839762003599,,354
2006,2,2.377842522870655,,354
2006,3,3.385671003977242,,354
2007,1,3.993817721462234,,354
2007,2,1.429322423337376,,354
2007,3,2.707167421548418,,354
2008,1,3.286222980016795,,354
2008,2,1.50923085815835,,354
2008,3,2.397869668187447,,354
2009,1,3.854455912814303,,354
2009,2,1.8488286005095,,354
2009,3,2.866959547394354,,354
2010,1,3.286038697790095,,354
2010,2,1.938585183191233,,354
2010,3,2.617292182773179,,354
2011,1,3.395662330977767,,354
2011,2,1.149512789774931,,354
2011,3,2.27802970667601,,354
2012,1,3.994064979692125,,354
2012,2,1.599077622821743,,354
2012,3,2.81702163390829,,354
2013,1,3.046486185658948,,354
2013,2,1.459194709439893,,354
2013,3,2.248082668071305,,354
2014,1,3.07661185447361,,354
2014,2,1.46935248928004,,354
2014,3,2.268175412986739,,354
2015,1,4.084042371849561,,354
2015,2,.179999999999958,,354
2015,3,2.138334676599518,,354
2016,1,4.263119490275025,,354
