year,sex,value,note_,lid
1905,2,132.7188262939453,,293
1905,3,146.5313415527344,,293
1906,1,166.502685546875,,293
1906,2,144.2356414794922,,293
1906,3,155.5013275146484,,293
1907,1,145.5125274658203,,293
1907,2,121.9967193603516,,293
1907,3,134.11669921875,,293
1908,1,151.289306640625,,293
1908,2,133.1587219238281,,293
1908,3,142.3956146240234,,293
1909,1,134.3700714111328,,293
1909,2,115.2257843017578,,293
1909,3,125.0021591186523,,293
1910,1,123.8336639404297,,293
1910,2,105.3153381347656,,293
1910,3,114.7099151611328,,293
1911,1,159.4987182617188,,293
1911,2,137.9615783691406,,293
1911,3,148.8602752685547,,293
1912,1,128.3116302490234,,293
1912,2,108.2116088867188,,293
1912,3,118.4520416259766,,293
1913,1,126.8076629638672,,293
1913,2,110.2822494506836,,293
1913,3,118.7149047851563,,293
1914,1,122.6311721801758,,293
1914,2,100.950080871582,,293
1914,3,112.0132751464844,,293
1915,1,142.8242645263672,,293
1915,2,123.0286483764648,,293
1915,3,133.0740814208984,,293
1916,1,141.9565582275391,,293
1916,2,124.155891418457,,293
1916,3,133.2787780761719,,293
1917,1,159.949462890625,,293
1917,2,138.0334167480469,,293
1917,3,149.2097930908203,,293
1918,1,213.0759735107422,,293
1918,2,186.7185974121094,,293
1918,3,200.2060699462891,,293
1919,1,163.3508605957031,,293
1919,2,148.1559295654297,,293
1919,3,155.9098968505859,,293
1920,1,152.5493011474609,,293
1920,2,130.3462371826172,,293
1920,3,141.7204284667969,,293
1921,1,143.8184509277344,,293
1921,2,120.1079025268555,,293
1921,3,132.2608795166016,,293
1922,1,99.09015655517578,,293
1922,2,86.17208099365234,,293
1922,3,92.7420654296875,,293
1923,1,109.7704162597656,,293
1923,2,91.32445526123047,,293
1923,3,100.7373123168945,,293
1924,1,102.2816696166992,,293
1924,2,83.29965209960938,,293
1924,3,92.99562835693359,,293
1925,1,106.1865081787109,,293
1925,2,84.98171234130859,,293
1925,3,95.77359008789063,,293
1926,1,120.8841171264648,,293
1926,2,100.1794052124023,,293
1926,3,110.6709289550781,,293
1927,1,101.3150253295898,,293
1927,2,82.20359802246094,,293
1927,3,91.87456512451172,,293
1928,1,117.2419738769531,,293
1928,2,95.13755798339844,,293
1928,3,106.377197265625,,293
1929,1,117.7043304443359,,293
1929,2,92.43058013916016,,293
1929,3,105.3034973144531,,293
1930,1,90.43286895751953,,293
1930,2,76.20128631591797,,293
1930,3,83.41016387939453,,293
1931,1,94.65798950195313,,293
1931,2,75.57133483886719,,293
1931,3,85.26020812988281,,293
1932,1,100.8264694213867,,293
1932,2,77.87565612792969,,293
1932,3,89.59011840820313,,293
1933,1,91.14588165283203,,293
1933,2,75.14620971679688,,293
1933,3,83.29695129394531,,293
1934,1,88.53545379638672,,293
1934,2,70.39842987060547,,293
1934,3,79.65365600585938,,293
1935,1,85.81142425537109,,293
1935,2,70.86473846435547,,293
1935,3,78.4534912109375,,293
1936,1,84.32588195800781,,293
1936,2,67.64584350585938,,293
1936,3,76.10603332519531,,293
1937,1,84.63473510742188,,293
1937,2,72.2373046875,,293
1937,3,78.51644134521484,,293
1938,1,80.33538055419922,,293
1938,2,67.00209808349609,,293
1938,3,73.78263854980469,,293
1939,1,88.2052001953125,,293
1939,2,69.46795654296875,,293
1939,3,78.99299621582031,,293
1940,1,124.4988632202148,,293
1940,2,99.20214080810547,,293
1940,3,112.0403289794922,,293
1941,1,82.85267639160156,,293
1941,2,67.52554321289063,,293
1941,3,75.32890319824219,,293
1942,1,93.70173645019531,,293
1942,2,78.38713836669922,,293
1942,3,86.19683837890625,,293
1943,1,109.4073104858398,,293
1943,2,88.19898223876953,,293
1943,3,99.04801940917969,,293
1944,1,102.9699630737305,,293
1944,2,82.88225555419922,,293
1944,3,93.14915466308594,,293
1945,1,144.4094085693359,,293
1945,2,121.7470703125,,293
1945,3,133.3016662597656,,293
1946,1,103.6068954467773,,293
1946,2,86.17169952392578,,293
1946,3,95.06520080566406,,293
1947,1,81.50748443603516,,293
1947,2,65.12435913085938,,293
1947,3,73.52391815185547,,293
1948,1,60.75504684448242,,293
1948,2,48.70021820068359,,293
1948,3,54.89393997192383,,293
