year,sex,value,note
1996,3,8.58078005238141,
1997,3,8.063303720789889,
1998,3,7.54944114793531,
1999,3,7.03542320626531,
2000,3,6.55799929604071,
2001,3,6.15464850129485,
2002,3,5.85117698614019,
2003,3,5.60387167699492,
2004,3,5.38780183675659,
2005,3,5.20748739915938,
2006,3,5.08091605096429,
2007,3,5.00595374331108,
2008,3,4.96870197033397,
2009,3,4.9535176902775,
2010,3,4.94533488266046,
2011,3,4.93291137987286,
2012,3,4.9149679413483,
2013,3,4.89503171539048,
2014,3,4.87723698313505,
2015,3,4.85619938028234,
2016,3,4.82735134673972,
2017,3,4.7825046489944,
2018,3,4.74073241656877,
2019,3,4.72419241879356,
2020,3,4.70830101695747,
2021,3,4.66923703687206,
2022,3,4.59968257898848,
2023,3,4.50404129360602,
1964,3,14.8015717414819,
1965,3,14.5194513418535,
1966,3,14.3852617859839,
1967,3,14.2570884801371,
1968,3,13.9951089175368,
1969,3,13.7030506920432,
1970,3,13.4594820734611,
1971,3,13.3481037368732,
1972,3,13.4543930209024,
1973,3,13.7086569621311,
1974,3,13.7656958270779,
1975,3,13.2954844731244,
1976,3,12.4770305914714,
1977,3,11.7067666062935,
1978,3,11.1924313912637,
1979,3,10.8198180506808,
1980,3,10.4664913597366,
1981,3,10.0838383762153,
1982,3,9.665690615433499,
1983,3,9.22278474606,
1984,3,8.790691757174759,
1985,3,8.415585492286279,
1986,3,8.093681179492179,
1987,3,7.82112203213852,
1988,3,7.62984409164088,
1989,3,7.63495647320806,
1990,3,7.94663109264184,
1991,3,8.41870588660232,
1992,3,8.7457295473687,
1993,3,8.742915461043751,
1994,3,8.582145949678511,
1995,3,8.445751690162711,
1996,3,8.368516080405501,
1997,3,8.320204712780219,
1998,3,8.26009774696044,
1999,3,8.13335137752682,
2000,3,7.89817151338919,
2001,3,7.57502316697527,
2002,3,7.20841638205338,
2003,3,6.81953738273199,
2004,3,6.40014908868048,
